Animated 1/1,Design
1,Luffy Gear 4
2,Ultraman
3,Hacker
4,Jiraiya Sage Mode
5,Zenitsu
6,Ichigo / Hollow
7,Black Panther
8,Shazam
9,Saitama
10,Sasuke
11,Thanos
12,Skelekong
13,Demon/Ninja
14,Vasto Lorde Ichigo
15,Groot (Guardians of Galaxy
16,Kisuke (Bleach)
17,Alien (ET)
18,Spiderman Kong
19,Gundam
20,Dio
21,skin gold
22,Nezuko
23,Gyomei
24,trippy kongz
25,Natsu
26,Rengoku
27,Uzui
28,Spirit Kong
29,Jack Sparrow
30,Tanjiro
31,Super Mario
32,Yasuo
33,Mandolorian
34,Shadow Fiend
35,Red Riot (kirishima)
36,Evangelion
37,Satoshi
38,golden frieza
39,Ban
40,pepe
41,platoon
42,robocop
43,gol d roger
44,Asta
45,Batman
46,Unicorn
47,Baby Yoda
48,Vader
49,storm troope
50,Dr Who
51,Yoshi
52,Predator
53,The Joker